Name,Address,Rating,Reviews,Phone,Website,Status
"Sorbillo Torino","Via XX Settembre, 22, 10121 Torino TO, Italy",4.6,7608,"011 1923 4672",https://www.sorbillo.it/,OPERATIONAL
"WÉMÁ BOGINO","Via Gianbattista Bogino, 3, 10123 Torino TO, Italy",4.8,2975,"011 1903 9008",http://wemapizzeria.com/,OPERATIONAL
"A Casa di Pulcinella","Corso Carlo e Nello Rosselli, 82, 10129 Torino TO, Italy",4.6,3570,"011 595457",http://www.acasadipulcinella.it/,OPERATIONAL
"L' Antica pizzeria da Michele Torino","Via S. Quintino, 2, 10121 Torino TO, Italy",4.3,2342,"",https://www.instagram.com/pizzeriadamicheletorino/?hl=it,OPERATIONAL
"Pizzium","Via Eusebio Bava, 2R, 10124 Torino TO, Italy",4.4,2529,"011 249 0151",https://pizzium.com/,OPERATIONAL
"La Capannina Ristorante Pizzeria","Via Vitaliano Donati, 1, 10121 Torino TO, Italy",4.4,3413,"011 545405",https://lacapanninatorino.com/,OPERATIONAL
"Pizza Ad Hoc","Via Giovanni Plana, 7/B, 10123 Torino TO, Italy",4.5,2282,"011 812 8643",https://pizzaadhoc.it/,OPERATIONAL
"Pizzeria 150","Via Nizza, 29, 10126 Torino TO, Italy",4.6,1294,"011 1970 6319",https://www.pizzeria150.com/,OPERATIONAL
"Melomangio","Via Melchiorre Gioia, 8, 10121 Torino TO, Italy",4.8,1391,"011 905 5066",https://www.melomangiotorino.com/,OPERATIONAL
"Pizzium - Torino Corso Matteotti","Corso Giacomo Matteotti, 3A, 10121 Torino TO, Italy",4.5,1603,"011 1893 8953",https://pizzium.com/locali/torino-corso-matteotti-3/,OPERATIONAL
"Pizzeria Vincenzo Capuano Torino","Via Andrea Doria, 21H, 10123 Torino TO, Italy",4.4,1504,"376 125 7877",https://www.capvin.com/qr-torino-ita/,OPERATIONAL
"Pizzium","Via Torquato Tasso, 5, 10122 Torino TO, Italy",4.3,3629,"011 1958 5395",https://pizzium.com/locali/torino-via-torquato-tasso-5/,OPERATIONAL
"50 Teglie","Via Giuseppe Grassi, 16, 10138 Torino TO, Italy",4.8,841,"340 610 0235",http://www.50teglie.com/,OPERATIONAL
"Pizzeria Starita Torino","Via XX Settembre, 36, 10121 Torino TO, Italy",4,2822,"011 1923 4019",http://www.pizzeriestarita.it/,OPERATIONAL
"Dual","Via Cesare Battisti, 17/d, 10123 Torino TO, Italy",4.3,2597,"379 240 5607",http://www.dualtorino.it/,OPERATIONAL
"Caprizza Torino","Piazza Savoia, 2, 10122 Torino TO, Italy",4.2,4058,"011 431 0287",http://caprizza.it/,OPERATIONAL
"Ristorante Pizzeria Grattacielo","Corso Bolzano, 8, 10121 Torino TO, Italy",4.7,2347,"333 101 4036",https://www.pizzeriagrattacielo.it/,OPERATIONAL
"Pizzium - Torino Duchessa Jolanda","Via Duchessa Jolanda, 8, 10138 Torino TO, Italy",4.4,1657,"011 1902 3025",https://pizzium.com/locali/torino-via-duchessa-jolanda/,OPERATIONAL
"Da Zero","Via San Domenico, 33, 10122 Torino TO, Italy",4.4,2624,"011 1892 3652",http://www.dazero.org/,OPERATIONAL
"Assaje Turin","Via Andrea Doria, 11, 10123 Torino TO, Italy",4.4,2390,"011 780 2618",https://www.assaje.it/,OPERATIONAL
